"Class","Name","Icon Path"
"1000Rnd_20mm_shells","",""
"1000Rnd_25mm_shells","",""
"1000Rnd_65x39_Belt","",""
"1000Rnd_65x39_Belt_Green","",""
"1000Rnd_65x39_Belt_Tracer_Green","",""
"1000Rnd_65x39_Belt_Tracer_Red","",""
"1000Rnd_65x39_Belt_Tracer_Yellow","",""
"1000Rnd_65x39_Belt_Yellow","",""
"1000Rnd_762x51_Belt","",""
"1000Rnd_762x51_Belt_Green","",""
"1000Rnd_762x51_Belt_Red","",""
"1000Rnd_762x51_Belt_T_Green","",""
"1000Rnd_762x51_Belt_T_Red","",""
"1000Rnd_762x51_Belt_T_Yellow","",""
"1000Rnd_762x51_Belt_Yellow","",""
"1000Rnd_Gatling_30mm_Plane_CAS_01_F","",""
"100Rnd_105mm_HEAT_MP","",""
"100Rnd_127x99_mag","",""
"100Rnd_127x99_mag_Tracer_Green","",""
"100Rnd_127x99_mag_Tracer_Red","",""
"100Rnd_127x99_mag_Tracer_Yellow","",""
"100Rnd_580x42_ghex_Mag_F","","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_100Rnd_580x42_ghex_Mag_F_CA.paa"
"100Rnd_580x42_ghex_Mag_Tracer_F","","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_100Rnd_580x42_ghex_Mag_Tracer_F_CA.paa"
"100Rnd_580x42_hex_Mag_F","","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_100Rnd_580x42_hex_Mag_F_CA.paa"
"100Rnd_580x42_hex_Mag_Tracer_F","","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_100Rnd_580x42_hex_Mag_Tracer_F_CA.paa"
"100Rnd_580x42_Mag_F","","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_100Rnd_580x42_Mag_F_CA.paa"
"100Rnd_580x42_Mag_Tracer_F","","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_100Rnd_580x42_Mag_Tracer_F_CA.paa"
"100Rnd_65x39_caseless_black_mag","","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_black_mag_CA.paa"
"100Rnd_65x39_caseless_black_mag_tracer","","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_black_mag_tracer_CA.paa"
"100Rnd_65x39_caseless_khaki_mag","","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_khaki_mag_CA.paa"
"100Rnd_65x39_caseless_khaki_mag_tracer","","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_khaki_mag_tracer_CA.paa"
"100Rnd_65x39_caseless_mag","","\A3\Weapons_F\Data\UI\M_100Rnd_65x39_CA.paa"
"100Rnd_65x39_caseless_mag_Tracer","","\A3\Weapons_F\Data\UI\M_100Rnd_65x39_red_CA.paa"
"10Rnd_127x54_Mag","","\A3\Weapons_F_Mark\Data\UI\M_127x54_CA.paa"
"10Rnd_338_Mag","","\A3\Weapons_F_Mark\Data\UI\M_338_CA.paa"
"10Rnd_50BW_Mag_F","","\A3\Weapons_F_Exp\Data\UI\icon_10Rnd_50BW_Mag_F_ca.paa"
"10Rnd_762x51_Mag","","\A3\Weapons_F_EPA\Data\ui\M_10Rnd_762x51_CA.paa"
"10Rnd_762x54_Mag","","\A3\Weapons_F_EPA\Data\ui\M_10Rnd_762x51_CA.paa"
"10Rnd_93x64_DMR_05_Mag","","\A3\Weapons_F_Mark\Data\UI\M_93x64_DMR_05_CA.paa"
